review_id,word_count,positive_words,negative_words,exclamation_marks,question_marks,capital_ratio,rating,sentiment
1,79,3,9,3,0,0.18818261180302828,5.0,Neutral
2,73,19,12,2,0,0.05132660244882041,5.0,Positive
3,163,4,17,0,2,0.2415149227631383,3.0,Negative
4,171,8,10,4,0,0.16558239425031432,1.0,Negative
5,64,0,8,1,0,0.29860755126501837,3.0,Negative
6,157,6,18,2,1,0.226520115916374,4.0,Negative
7,114,13,13,1,0,0.2984444273045666,1.0,Negative
8,191,6,7,1,0,0.26723461522913994,2.0,Negative
9,173,11,16,2,0,0.054642564473109244,2.0,Negative
10,197,18,3,0,2,0.22442079106867216,3.0,Positive
11,140,4,19,4,1,0.14943001854571875,1.0,Negative
12,194,7,8,0,1,0.03893139619492079,4.0,Neutral
13,44,12,12,3,2,0.17034818667868748,5.0,Positive
14,109,4,4,0,2,0.02810574670215611,1.0,Negative
15,164,14,18,0,2,0.22860374493702887,4.0,Neutral
16,17,8,13,0,2,0.10837280836071167,3.0,Negative
17,125,9,12,1,0,0.24268057610585805,2.0,Negative
18,102,13,10,1,2,0.20468322939981579,5.0,Positive
19,93,3,18,2,2,0.26350932663660154,2.0,Negative
20,66,6,6,1,1,0.055762645577454896,4.0,Positive
21,83,5,6,2,1,0.19353049252668503,5.0,Positive
22,128,2,10,0,2,0.25916286642338693,4.0,Negative
23,42,1,11,1,1,0.06834521695412156,2.0,Negative
24,76,13,10,1,2,0.2349643982158656,1.0,Negative
25,92,12,5,3,2,0.08545453122006717,2.0,Positive
26,112,15,12,4,2,0.24465240475457237,3.0,Positive
27,139,12,11,4,1,0.1546567844915596,3.0,Neutral
28,163,16,7,0,2,0.19984562993957397,4.0,Positive
29,160,11,10,0,1,0.1108898958786925,3.0,Neutral
30,170,17,16,4,1,0.24776044752037907,1.0,Negative
31,37,16,17,2,0,0.03694909718059586,1.0,Negative
32,140,3,3,2,0,0.05803468169774781,,Positive
33,190,13,4,4,0,0.02696603976009788,3.0,Positive
34,70,15,3,3,1,0.28487543601584087,4.0,Positive
35,179,10,8,1,2,0.13988652782621386,2.0,Neutral
36,75,3,19,3,1,0.1432479506373205,1.0,Negative
37,132,9,11,3,0,0.09044695441132188,5.0,Positive
38,184,14,13,3,1,0.14091084964731912,4.0,Positive
39,102,5,12,1,0,0.07052827727187923,1.0,Negative
40,55,11,5,2,0,0.2854935104264112,1.0,Neutral
41,40,5,3,2,1,0.07903617345660414,4.0,Positive
42,67,2,9,2,0,0.2776341989461428,5.0,Neutral
43,24,0,15,3,0,0.1464400407509609,1.0,Negative
44,147,7,19,0,1,0.13115349516654912,4.0,Negative
45,116,15,10,3,1,0.24114629250807745,4.0,Positive
46,95,4,2,0,1,0.14838629064765915,5.0,Positive
47,107,6,10,1,0,0.08007073215782867,1.0,Negative
48,51,5,9,4,2,0.13053972408781025,3.0,Negative
49,113,10,12,3,1,0.13189216228451026,4.0,Neutral
50,194,9,9,2,0,0.08854939076458836,4.0,Positive
51,23,8,11,0,0,0.12611809329542542,1.0,Negative
52,93,1,4,2,0,0.03603477303506345,5.0,Positive
53,108,4,14,3,0,0.28204753432317126,5.0,Negative
54,74,5,9,1,1,0.19199479196564925,1.0,Negative
55,25,19,10,1,0,0.057956682471866104,5.0,Positive
56,179,12,1,0,0,0.23682467407974234,1.0,Positive
57,124,13,16,2,0,0.07991092038365878,3.0,Negative
58,162,2,10,4,2,0.17887953772417273,2.0,Negative
59,57,11,12,0,0,0.27432550210005097,5.0,Positive
